asset_path,filename,dimensions,bytes,referenced_by_index,purpose_or_note,source
assets/ren_motorcycle_after_tommy_station.jpg,ren_motorcycle_after_tommy_station.jpg,1672x941,374647,NO,,
assets/ren_motorcycle_pickup_kyoto.jpg,ren_motorcycle_pickup_kyoto.jpg,1672x941,418689,YES,,
assets/ren_serious_after_tommy_fight.jpg,ren_serious_after_tommy_fight.jpg,1672x941,234236,NO,,
assets/ren_sukiyaki_actual.jpg,ren_sukiyaki_actual.jpg,1672x941,336369,NO,,
assets/ren_sukiyaki_dinner.jpg,ren_sukiyaki_dinner.jpg,1672x941,336369,NO,,
assets/ren_sukiyaki_dinner_latest.jpg,ren_sukiyaki_dinner_latest.jpg,1672x941,336369,NO,,
assets/ren_waiting_rainy_street_after_tommy.jpg,ren_waiting_rainy_street_after_tommy.jpg,1672x941,464637,NO,,
assets/riverside_transition_sunset.jpg,riverside_transition_sunset.jpg,1672x941,267493,NO,,
assets/romantic_dinner_with_city_lights.jpg,romantic_dinner_with_city_lights.jpg,1672x941,207396,NO,,
assets/romantic_dinner_with_city_view.jpg,romantic_dinner_with_city_view.jpg,1672x941,207396,YES,,
assets/romantic_evening_by_the_riverside.jpg,romantic_evening_by_the_riverside.jpg,1672x941,333056,NO,,
assets/romantic_gaming_night_in_cozy_light.jpg,romantic_gaming_night_in_cozy_light.jpg,1672x941,315353,YES,,
assets/romantic_gaming_night_in_the_city.jpg,romantic_gaming_night_in_the_city.jpg,1672x941,315353,YES,,
assets/romantic_night_out_in_the_city.jpg,romantic_night_out_in_the_city.jpg,1672x941,353863,YES,,
assets/route_harrison_card__webp.jpg,route_harrison_card__webp.jpg,1122x1402,328934,NO,,
assets/route_hiroshi_card__webp.jpg,route_hiroshi_card__webp.jpg,1122x1402,279359,NO,,
assets/route_kenji.jpg,route_kenji.jpg,1672x941,366596,YES,,
assets/route_kenji_card__webp.jpg,route_kenji_card__webp.jpg,1122x1402,270898,YES,,
assets/route_marcus_card__webp.jpg,route_marcus_card__webp.jpg,1122x1402,266819,NO,,
assets/route_ren_card__webp.jpg,route_ren_card__webp.jpg,1122x1402,265161,YES,,
assets/route_tommy_card__webp.jpg,route_tommy_card__webp.jpg,1122x1402,240041,YES,,
assets/seaside_sunset_and_shared_dango.jpg,seaside_sunset_and_shared_dango.jpg,1672x941,378155,NO,,
assets/secret_dream_wedding.jpg,secret_dream_wedding.jpg,1672x941,862544,NO,Tommy secret ending - Dream Wedding alt 1,/mnt/data/v5_7_15_tmp/tommy_secret/Tommy Secret Endings/315D5DFB-067E-4ED7-AE9A-452BC2CFCF37.PNG
assets/secret_house_in_hyogo.jpg,secret_house_in_hyogo.jpg,1672x941,755574,NO,Tommy secret ending - House in Hyogo,/mnt/data/v5_7_15_tmp/tommy_secret/Tommy Secret Endings/E9B937C2-6ABA-4EA1-87AE-E8E672A7D5D4.PNG
assets/secret_our_little_boy.jpg,secret_our_little_boy.jpg,1672x941,848759,NO,Tommy secret ending - Our Little Boy,/mnt/data/v5_7_15_tmp/tommy_secret/Tommy Secret Endings/C5798273-8225-48B1-94F8-F9C28A694AA0.PNG
assets/secret_route_locked_card.jpg,secret_route_locked_card.jpg,1122x1402,202927,NO,,
assets/secret_route_locked_card_jp.jpg,secret_route_locked_card_jp.jpg,1024x1536,218687,NO,,
assets/serene_sunset_riverside_reflection.jpg,serene_sunset_riverside_reflection.jpg,1672x941,267493,NO,,
assets/stylish_young_man_in_upscale_mall.jpg,stylish_young_man_in_upscale_mall.jpg,1672x941,301735,NO,,
assets/sunset_stroll_with_dango_at_sea.jpg,sunset_stroll_with_dango_at_sea.jpg,1672x941,378155,NO,,
assets/tense_dinner_in_a_dimly_lit_city_apartment.jpg,tense_dinner_in_a_dimly_lit_city_apartment.jpg,1672x941,238351,NO,,
assets/tommy_airi_korean_lunch.jpg,tommy_airi_korean_lunch.jpg,1672x941,314262,YES,,
assets/tommy_arcade_bull_bridal_ren_interruption.jpg,tommy_arcade_bull_bridal_ren_interruption.jpg,1672x941,345441,NO,,
assets/tommy_arcade_cheek_kiss_hidden.jpg,tommy_arcade_cheek_kiss_hidden.jpg,1672x941,336152,NO,,
assets/tommy_arcade_cheek_kiss_ren_interruption.jpg,tommy_arcade_cheek_kiss_ren_interruption.jpg,1672x941,345441,NO,,
assets/tommy_arcade_kiss_cheek_latest.jpg,tommy_arcade_kiss_cheek_latest.jpg,1672x941,340866,NO,,
assets/tommy_arcade_solo_awkward_confession.jpg,tommy_arcade_solo_awkward_confession.jpg,1672x941,271852,NO,,
assets/tommy_arcade_solo_hep5_neon.jpg,tommy_arcade_solo_hep5_neon.jpg,1672x941,293857,NO,,
assets/tommy_back_to_you_car.jpg,tommy_back_to_you_car.jpg,1672x941,355387,YES,,
assets/tommy_bridal_style_arcade.jpg,tommy_bridal_style_arcade.jpg,1672x941,340866,NO,,
assets/tommy_confession_cozy_room.jpg,tommy_confession_cozy_room.jpg,1672x941,238190,NO,,
assets/tommy_doorway_gift.jpg,tommy_doorway_gift.jpg,1672x941,198843,YES,,
assets/tommy_family_dinner_pov_latest.jpg,tommy_family_dinner_pov_latest.jpg,1672x941,300871,NO,,
assets/tommy_family_karaoke_pink.jpg,tommy_family_karaoke_pink.jpg,1672x941,331792,YES,,
assets/tommy_family_sukiyaki_pov.jpg,tommy_family_sukiyaki_pov.jpg,1672x941,300871,NO,,
assets/tommy_family_sukiyaki_wide_latest.jpg,tommy_family_sukiyaki_wide_latest.jpg,1672x941,340955,NO,,
assets/tommy_festival_handhold_close.jpg,tommy_festival_handhold_close.jpg,1672x941,300389,NO,,
assets/tommy_festival_handhold_close_latest.jpg,tommy_festival_handhold_close_latest.jpg,1672x941,300389,NO,,
assets/tommy_festival_market_bg.jpg,tommy_festival_market_bg.jpg,1672x941,468726,NO,,
assets/tommy_festival_secret_kiss.jpg,tommy_festival_secret_kiss.jpg,1672x941,771779,NO,Tommy secret ending / wedding ending art,/mnt/data/v5_7_15_tmp/tommy_secret/Tommy Secret Endings/0511A03C-73C1-4BCA-AB05-A6857BCA414F.PNG
assets/tommy_festival_solo_stalls.jpg,tommy_festival_solo_stalls.jpg,1672x941,244311,NO,,
assets/tommy_festival_solo_yukata_awake.jpg,tommy_festival_solo_yukata_awake.jpg,1672x941,302943,NO,,
assets/tommy_festival_tommy_solo.jpg,tommy_festival_tommy_solo.jpg,1672x941,302943,NO,,
assets/tommy_festival_yukata_solo_dark.jpg,tommy_festival_yukata_solo_dark.jpg,1672x941,244311,NO,,
assets/tommy_festival_yukata_walk.jpg,tommy_festival_yukata_walk.jpg,1672x941,372426,NO,,
assets/tommy_hep5_arcade_buttons_couple.jpg,tommy_hep5_arcade_buttons_couple.jpg,1672x941,440115,NO,,
assets/tommy_hep5_arcade_solo_latest.jpg,tommy_hep5_arcade_solo_latest.jpg,1672x941,314564,NO,,
assets/tommy_hep5_game_fun.jpg,tommy_hep5_game_fun.jpg,1672x941,359728,NO,,
assets/tommy_hep5_karaoke_lilac.jpg,tommy_hep5_karaoke_lilac.jpg,1672x941,276446,YES,,
assets/tommy_hidden_after_festival_kiss.jpg,tommy_hidden_after_festival_kiss.jpg,1672x941,538615,NO,Tommy ultra hidden ending kiss,/mnt/data/v5_7_15_tmp/tommy_ultra/Tommy ULTRA Secret Ending/8EB900E8-8B11-44F3-885D-F0740262445E.PNG
assets/tommy_interrupt_dont_go_train_station.jpg,tommy_interrupt_dont_go_train_station.jpg,1672x941,363367,NO,,
assets/tommy_ise_jingu_entrance.jpg,tommy_ise_jingu_entrance.jpg,1672x941,405742,NO,,
assets/tommy_ise_jingu_entrance_latest.jpg,tommy_ise_jingu_entrance_latest.jpg,1672x941,366610,NO,,
assets/tommy_ise_jingu_path_sunset.jpg,tommy_ise_jingu_path_sunset.jpg,1672x941,366436,NO,,
